10  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3ee26f9b 3ea87513 3eb152f9 3e6b30c9 3f0d869f 3e720e33 3ef6d156 3f2aa5b4 0 
0 3f0945ec 3e5e1e2d 3e92be7d 3f49c7ca 3f39432b 3f6bbce7 3e5e0162 3effd298 0 
0 3e058029 3f79d4c3 3eee9045 3f79eff9 3e527191 3e100cff 3eb94a11 3f602975 0 
0 3f62826a 3f214e72 3d413f0d 3f0b6eae 3f74699f 3ec8365f 3f542908 3f3e244a 0 
0 3f2fbb16 3f3caa81 3e80bf86 3f461ee8 3f79e85e 3f483956 3eff4997 3f4ac191 0 
0 3f4ad2d0 3f731964 3f578174 3f169139 3f43c01a 3ebc9496 3f5a183c 3f60bdb4 0 
0 3f5246fe 3e5c6d49 3eac1928 3f1aab5b 3ec4ecb3 3f4a8173 3ed36923 3eb30827 0 
0 3e8e74da 3f7c5e70 3e8deebb 3e2cf364 3f3315e2 3e578558 3e0be79d 3f54e0a0 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3e9fa4ab 3f02f6ed 3f785ab4 3f10daea 3f29db16 3eacb1bf 3f71b398 3e19853d 0 
0 3f35f49d 3e47e656 3eaa8029 3ec95677 3f6ac91b 3f2b88a1 3f62caf9 3ebaf737 0 
0 3e9b70ad 3e59462e 3db68875 3ca13fb8 3d97f8c6 3f0a1647 3e7d6995 3ebe6402 0 
0 3dc8946c 3f7c2f5d 3f7135d3 3e8d0f75 3f644db1 3e6c9a0e 3f7c47d9 3f751d70 0 
0 3f338128 3ecbaae3 3ec33f1b 3e2a2ff9 3f79f36c 3f2f4e31 3e85399f 3f0d75d6 0 
0 3f2ae11b 3f34b5a3 3f604e8f 3ee91672 3f202f63 3e2a1532 3e80b32a 3f1023ed 0 
0 3f076bb1 3dbf45aa 3e1d9a48 3d64daee 3e88702e 3ef7ec40 3eae0bfa 3f7479b9 0 
0 3f7b1edf 3f37777f 3f0c5744 3f1fc46d 3f027a41 3f5a83e0 3f19ff79 3cc847c2 0 
0 0 0 0 0 0 0 0 0 0 

3f4e81bd 3db807ea 3f1d1226 
3f2eff87 3f5df212 3ee19f7d 
3c9ad6ec 3f510562 3ed2a50e 

3df959d0 3f0867da 3f5546fb 
3f03da58 3dfad1f0 3f567cc3 
3f26dd91 3d9a6e37 3f1b589d 

3dd712f6 3f192ae8 3f30b91e 
3f1e18b7 3ebf362f 3f36b3c9 
3d6b6e58 3e9aa19f 3f26bfdd 

3f28a17a 3df9fcdb 3f00319f 
3f0c6145 3f594f4f 3e9033de 
3f056e7c 3e27c996 3f3573ce 

3f7b010e 3ebae947 3e37d83b 
3e1b99de 3f59f6df 3f0f0871 
3ec7fe01 3c749aa7 3e4979f0 

3f695314 3f536142 3f2a3c01 
3f09ea68 3d94348e 3df5a3a7 
3f38b8d1 3f04c10b 3f1e54f1 

3f73f42d 3f632fcc 3e502ccd 
3f66c9b6 3f3c51e6 3f1e8c60 
3f1d3f07 3cb9a5bb 3eb8ea89 

3e609c0c 3f2d2d9c 3cfc7e5f 
3f3044dd 3f2d30c7 3f79f00c 
3f5596ee 3f5c0e9a 3ee9e1b4 

3ee73c35 3dd7329b 3e9af1ec 
3f4e8049 3ec00cab 3d84a3da 
3f3f3f98 3f4e3b27 3eb4b6e6 

3f509b87 3dc68ba1 3f644db0 
3f242bab 3f0b905e 3d268953 
3c2e1602 3ee2d04c 3ebc865b 

3f8719d4 3f85cdff 3f982a06 3fd0277c 3fdccfe0 3fd333d2 3fa2fa31 3fa8e5b9 
3f8a9b70 4018f020 40386420 401bbd34 400b399a 4026d555 4008f4fb 3fefd0f2 
3fbdf80c 402c5838 4046a6a4 402aea53 4003780b 40194efe 401819a0 40063a36 
3fea87a9 405c9d6c 406c9785 403b8919 400375a0 400f4ef6 3ff78e68 3ff59718 
4009cfba 404bb10e 4030b601 4039e6c9 4031b952 401734b0 40164fe0 3fe04f94 
3f7a8a5b 3fe537b1 3fe08b0d 3fb81e91 3fce96e6 3fc5e894 3f99bca6 3f4bef63 

3f591b5f 3f7bc885 3fe009bf 3f9c4113 3ff991d7 3fa330f3 3fef76d7 3f27a2a2 
3f9a8ca3 3fd14702 40022030 3fd469bc 400fae2c 3ffe216b 3ff2c97a 3f8ce8c7 
3f722aff 3fd7ab71 3fdf7c87 3fcfc3a1 4005d3b5 401e1108 3fbeb51a 3fa7bc87 
3f5cc774 3fbf7841 3fe97917 3fcfa2b0 3fca7fb1 400d59ca 3fc41a2a 3fafc327 
3f75f886 3fe86116 400b0a1c 3ff79caa 3facb729 3fe81899 3fa4a873 3fc6e4c6 
3fa7ad9e 400e198c 4020a4d2 401786b1 3fb80467 3fc311b5 3fbeeb6d 3fa9f24e 
3f96a971 4015adac 40155996 40022742 3feaca66 3fde18cb 3fce4d4c 3f959e73 
3f3af1e9 3fc1abd3 3fac63fe 3f997324 3fb1058f 3fa601e8 3f8c1d81 3f1a5903 

3f1e2921 3f054dba 3f25d087 3f455603 3f424117 3ee4e454 3f48511d 3f031b1d 
3f851cb4 3f938e75 3fbdd298 3f979a65 4000fbeb 3fa1d6f6 3feadc52 3ec91f2a 
3f3b86fd 3f645589 3fc67a31 3f91acab 3fd4f9ae 3fc0c3ba 3fb835e1 3f086154 
3f72569b 3fc2883e 3fc8dfff 3fa3bf6c 3f69cb3b 3fbf2b9b 3f8dde37 3f659ece 
3f412325 3f972ec4 3fae9b20 3fb8d929 3f9ac5b6 3fe18e08 3f8f3105 3f71dbfa 
3fa59ff7 3fd64946 3fdbaa03 3fad5f02 3f8a070f 3f7a1125 3f529a15 3f73e3d0 
3f90fbe0 3fbbe4b2 3fc55e33 3fe262a2 3f9ed76c 3fc71ad2 3f6d8a1d 3f77a32b 
3f365e79 3f925e88 3f7ea4dd 3f7d4b38 3f2f3195 3f3cdc51 3f6a89f4 3e598a90 

3f3c4bcd 3f9e4507 3fe46049 3f909354 4017bb55 3fa90e90 3fdf30d2 3f391bbd 
3fb38e40 3fd88fa2 402a805f 3fee8e47 401bdcbe 3ff2dba2 4022dc17 3fa72b33 
3fc4768f 3fce3387 3ffa370e 3ff31ddf 400956a4 401ef81f 4004ae7c 3fbc2a2b 
3f73066a 3fa1816c 40014a67 401c1f4d 4005e637 401b7202 3fae6d3a 3fa5ef7e 
3f87d51e 40010ecc 40197274 4011ce41 3fc712d2 3fff0f26 3fa941c3 3fd47f3f 
3fc4b12c 402e55be 403e6af7 40121952 3f9c6f5b 400f4ac1 3fcc4d3b 3f8d204b 
3fe7648a 4049a300 40060bd8 400316fc 400566d3 400609fd 3fecd0f9 3f901069 
3fb10e15 3fd63674 3fc816f0 3fd6b5e3 3fdc48cd 3fa7ef4c 3fb9a23f 3f0f6bb5 

405b4462 404a9f58 406a46e0 40547911 405a3e52 40280c88 4085d537 4008f01c 
408108c7 407a088f 409cf533 40846983 40a553c9 408c32ae 40a01b99 401d5263 
40352e2a 408466e7 40a38ebc 409598d0 40adbe1b 40abb985 409b391f 401c2581 
403834ff 409f22d6 409ac78d 40907451 4067a9c5 40a1a96e 40793b75 405a1af8 
4043583d 408d7852 40abaf0c 40806aba 405a43e7 4076c1eb 40524fd1 402d29a7 
4061fefe 40a3b1ed 40acc756 409a8ede 4062ce11 40649562 4069caf1 403454fc 
4039b27e 40a4e33c 40b9ae62 40a9bdc8 4074207a 406cc3e5 407485e4 402b4012 
3fbd502e 40590d1a 4072c1e8 402b8a1a 4024870c 4018bcae 401ef96d 3f8d696d 

40264fab 406cf784 40864f2b 40401a49 4081a269 40420f3c 407cf2e9 40199030 
403bf5d7 409ce56e 40a2da3c 408b0afb 40afa2f7 4092c4c4 409de69b 404cd85c 
40292df2 4093913c 4082e8fa 40a02c85 40afc33e 40bd75e5 40945db9 40663041 
40257cf8 4087222e 40a66f56 4096208f 408db0c2 409236cc 408cc988 406849a5 
40122c2d 409a3ec6 40ad31f4 4093263b 4074e7da 405812b1 40817893 403c0b44 
40314bb1 40aef463 40ba0122 40a20b0e 4078d693 4082c01d 40673ec4 4038800a 
4048c5c8 40aa93b9 40b1c8fb 40a8d7a6 4094f52e 4065ef2c 4089dd19 404f302b 
3fb863aa 403088d2 40614fc0 404fd8a8 4039fc99 401089a7 40096ed0 3fcd6b86 

40105d16 404e345d 407edd86 401b3b84 4070c462 4024d9d3 406f2813 3fe32cf1 
40331f2b 4093744c 40961e37 40867559 40a37064 408897d5 40a0ab76 40335c27 
4021a102 408cde22 40939202 409be10f 40a25663 40b5b89e 4084d14f 406513da 
401baf5e 40791a48 40a44b7a 40893cbb 40958ae2 408cc05a 40972f5a 40313f81 
4009056f 4091949a 4091717d 409e7ec6 4059ac24 40713c42 40537bb5 4030af10 
4022d3e0 409650f5 40af8bda 409a5207 4082bf54 404c551f 40769d91 402f72ee 
401a1ea5 409b4398 40afd90f 40a2e541 40894d98 4056c803 407e77cb 401a3406 
3fbc4062 4051a104 406760e1 4049a9f5 403e6df2 40177659 401bed97 3fd31838 

400c2adf 4023fc51 402ae536 4016ac07 401f300c 3fd02e7c 402c13e0 3fc50927 
40682f11 408fa5bd 408dbd8a 406edfd5 40aca425 408472c9 40abeb69 4021c22e 
402a48a1 4085b283 40a2f1a2 4097ea87 409e9b4a 4094cc1f 409bd480 403b2ba0 
403d39ef 4091885e 40a6e18d 409cadf7 40855f13 409a07e6 4083f7b3 40404bd7 
402e3854 4074aa72 40998fa2 4096b75e 40820a50 40816550 4083f2d2 400200c9 
4042c54b 40a57963 409694f3 408e54e8 4060ef65 402b30ea 406a4f7a 403eecc1 
401209db 408cc5a0 40ac3cdc 409e9780 408be22f 4065341f 404038c9 4019143d 
40153a58 40681d20 40829964 40420b7d 4017de37 401f7da0 40480966 3fa53134 

3f97f711 40332fbf 405cb551 4006d82a 4054fb0d 400d1788 4039a557 3fd62f85 
4030fd14 408690ab 40938ea4 406ecf23 409af4f2 406bafc8 4092ddaa 404b4fba 
402eabc5 4079eea8 4076f507 408aebb1 408a2d58 4094bf7e 408b2cab 406aa4eb 
4000a643 403eed3d 408c9bfa 40a21a40 4090e677 4097ef4f 405a3937 4062c435 
3fed5836 40729845 40a2179d 4093c7e0 40678e5c 4060c243 404e6c03 4024f022 
401f0d3f 40939fed 4099c879 40971ed2 402da64b 406cde84 4053ffdc 402b6526 
400c00ad 40978aeb 4095bea5 4097735d 40882a9d 404938d9 40530977 4031a00e 
400ad1e9 40398c3e 406a8738 406f097b 404efcf4 4023d75e 40393156 3fcc0b1f 

  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3f5a2a93 3f4089ea 3f40de93 3f1c106e 3d0c9b9e 3f4a364a 3f63603c 3f373737 0 
0 3f67508e 3f2d67ac 3eee1621 3e67c95f 3f484457 3f0c181d 3f1f34aa 3f1cbfdb 0 
0 3f18b4b7 3f62847d 3d2369c2 3e1508d5 3eba39e7 3e584bf0 3f0eef9a 3eae3414 0 
0 3f359b14 3f2f1158 3f41f5a5 3f110799 3f4de073 3f313164 3ec5955f 3e5596d6 0 
0 3f054045 3f24b87d 3e5a431e 3ec3b6a0 3f7aaaf4 3df1b29f 3f179098 3f7242c8 0 
0 3e3ea229 3f02bafa 3f58bddc 3db95839 3b5db204 3f4ff1c6 3e58178d 3f51c5b6 0 
0 3d90177a 3f690df4 3e5ee50c 3f1e47f6 3d01618c 3e5fd1ce 3f5a1462 3e3f012f 0 
0 3f3155de 3f23bb0d 3f4330da 3f3c62c2 3f227275 3f21e48a 3f598fdb 3eb28261 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3f6d763c 3ed59688 3ec4af88 3e5a3643 3f78bb35 3f76a2d8 3f211128 3f041f25 0 
0 3e56afef 3f25c553 3cdda689 3f3f6d58 3f797b6e 3f587197 3f0363cb 3e417ce1 0 
0 3f615365 3ef49f6a 3f2001cb 3ecea144 3e44bd25 3f559eb9 3f79513e 3f381768 0 
0 3e18f336 3f6c3830 3d952a95 3ea1616d 3eeafe28 3f72feb5 3ded9278 3e112ea8 0 
0 3f07a488 3ebbd2ae 3f75eae4 3f7719f2 3e9ce74c 3eb25760 3e59c966 3f2a9899 0 
0 3f126c06 3f6459bb 3f0f9cdc 3f3e1ee0 3f3af732 3e36c3f5 3f717594 3f3eef28 0 
0 3eadbf22 3ecac9a0 3f1007c2 3f17924f 3efe32ab 3def327d 3f4c69ab 3f752d27 0 
0 3f1b07ab 3efa3e84 3e349364 3e2d9e90 3ead87fd 3f48d868 3f7d77f8 3ef09cff 0 
0 0 0 0 0 0 0 0 0 0 

3eb36fa3 3ea90141 3f06cd77 
3e94c0d2 3dfc10fe 3f678859 
3deb3d15 3f7024ba 3f476991 

3e71d9c8 3f7ff691 3f770685 
3e793f46 3f6cfb86 3f53138c 
3e18182a 3ee1973a 3e9853b9 

3f4f92e0 3ed44930 3edf983a 
3d9598ad 3e9b317d 3e500c55 
3d9be715 3f5f4876 3ebd7a96 

3f02e52a 3d97006b 3eb9653a 
3f152cae 3f45b7f9 3ec52450 
3e085fa6 3f425c2f 3e88be78 

3f48fd89 3f4d4889 3e74e2ea 
3ebd7608 3f0561e5 3d804f9f 
3ef4ecdc 3d9bfa4f 3f424ab3 

3f1bb61b 3e3e569b 3ecf549d 
3f4dfc41 3de75aea 3e206483 
3e8840c5 3e00e4ca 3e000310 

3c6ce7bf 3ed18f87 3d2e603f 
3d5f5b6e 3e8426a0 3ecd19d8 
3e4d39dc 3d9a54e7 3e2f4667 

3ec08369 3f091e53 3e84d981 
3ed42311 3ebc1af2 3effc74b 
3f709138 3f1c33ce 3f61d30c 

3e09342a 3f1b5b3f 3f586142 
3db0438c 3f49c6b8 3ed09b91 
3e22e5e4 3f67582a 3f4f681d 

3e58a015 3d7809aa 3eb1a93f 
3f0e322a 3f14d007 3c487d94 
3f3470f3 3d416e5b 3ed46e3f 

400a4336 4007dec8 3fc6c67e 3f999c54 40053d15 3fffc283 4006fe7a 3f7df008 
40299951 4028f139 3fc5b0ee 3fe39e0f 3fe90146 40116f04 402326b4 3f97eaf3 
402e837a 401aa927 400897c1 401030db 4010cbb9 401d8423 3fe171be 3f5d38d2 
4016eb77 4014ee6b 3fe34e56 401aa87b 400e7a97 3febf538 400b9279 3fb3644c 
3fe80644 401d3609 40114d00 40038ab4 3fe81329 401e6210 4017d526 3fa48ad9 
3fe2a10a 401af723 3fcf9b8c 3fcd99c5 3fc69a66 3fedd07e 402d4abf 3f747112 
4013dd49 40121369 402dfbad 3fe25c9b 4000e7d1 4020f6ee 4010ea52 3f85107e 
3f954972 3fb4656d 3fd4b1ff 3f976ce2 3f9a601c 3fc803b6 3f87a367 3f26628c 

40008e15 40062291 3fe0c400 3f96ba87 3fafb002 4000e921 400916fd 3f9ed4a6 
405fed27 4059a9a8 401f94bf 3ffbb9bb 401a9b00 404b62e4 4056e290 3ff02d8d 
4056b5ab 403dfea2 3fe8e8b6 4008c0bd 40237b49 40276767 4021a37d 3fadf9d3 
4045dc23 403accb7 4001c1cc 4017a1c9 402501e3 40174dd0 400c6c0d 3fa1ca17 
4027647a 403f0a9e 402714b2 4039abd4 403d62fa 4020b923 40242a31 3fdb2a28 
400256ed 402a858b 40086d70 3ffdf988 400320b6 400ce999 404428c4 4006b2b2 
3ffebd11 40416efd 4028c829 3fc9229f 3fdf6e4c 402380c2 4030b819 3fc3b6bd 
4007836f 4021adc7 401fd72e 4005c41b 3fd696d7 401f4535 4013ef42 3f6ad4ae 

3fb9961f 3fa331e7 3f72b515 3f44e549 3f8f09d0 3f983e0b 3fa4395d 3f5cfad2 
3ff873a7 4021e496 3fca59e6 3fb3ce62 3fcffa1a 3fc16d00 401366a7 3fcb293d 
3ff39086 401de85a 3fef52fe 3fe4353d 3ff4a804 4009408e 3fd838f5 3f8e822e 
3fd7044a 3ffaf8a1 3fc8c855 3fad4f50 3fdb589d 3faf5784 3fd18456 3fc7201b 
3f9dc719 400f49c9 40076e8c 3fd674ce 3fe08a08 4007cedb 3fdef399 3fbae945 
3f8712e3 400024e6 3fc9e577 3fb54d39 3f8c3e02 3ff314ab 3fefbaf5 3fae8f75 
3fac7675 3ff9a8d4 40031ee3 3fef59eb 3fafa361 3fcb3a39 401567bb 3f7f97c9 
3f444343 3f6dcee0 3fc34c1f 3f5ab484 3f7c055c 3f66224e 3f7c8c8b 3f6f9239 

3fe84854 4008164d 3fe11926 3faed201 3fba624d 3fd43335 40085879 3fcf1ac6 
3ffdd492 40304b84 3fd82cb6 3fb38703 3ff312a7 3fefc848 40139bd4 3fd66252 
3fead1ed 4022bba1 3ff0face 3fc794d8 3fd841cf 3ffee206 3fd637ba 3f949c36 
3fdf0e36 400ee4e2 4003ce54 3ff74024 400e29d2 3ff781b5 3fe2d19e 3fbf36df 
3f9d1c25 400d5727 40021284 3fd97f19 3fed8422 400a9222 3feaf318 3ff82ac5 
3f6888a4 3ffd39ab 3ff5e5b9 3fc81437 3f57db4f 3fea7eca 4007f274 3fb11349 
3fa66e8c 40031f95 4009d3ee 3ff18a7f 3fc771d1 3fb8f189 401a10ed 3f97e484 
3f8edc99 3fafc259 3ff9a43c 3fb67049 3fc7ae6d 3fc358c8 3fb35b97 3f9b5e72 

3f897a67 3fcbab91 3f9ec17d 3fb74b14 3f604b8f 3faf13f4 3fc970d6 3f85d90f 
4005faf3 402350af 40189895 3fdded5e 3fbd39f7 40066934 401e1821 400741d4 
3fe9b4ca 4040ed97 400861b9 3fee76f4 40033454 400d8c2c 3ffdf2a3 3fc8253f 
3fd0b046 40140fbc 4003c5db 3fde198b 3fbcdbec 400ca58a 3ffe134e 3fa8b349 
3fb90b72 402649d5 4001f3c2 3fff6668 4024c07b 3ffb4cb4 4015ceb9 3fac4159 
3fb2c1ff 3fd0decd 4014c621 3f9f3793 3fd4f4ff 4007bdf8 3fc8864c 4009a098 
3f673c68 400ec6df 4020d596 4002e3c5 3fb42182 3ff0a864 400af4c3 3fd58a20 
3f2cd4e7 3fbcc12b 3fdbccf1 3fb09566 3f9a5054 3f82bb6d 3fcc8a49 3fa84296 

3e8e104b 3f7e8d4d 3f2e8050 3f3560fd 3f5c0734 3fb5a4ea 3f9ec354 3f39942b 
3f2310b5 3fb53bfd 3fa78ab9 3f95581b 3fe3e567 4010d190 400751b8 3fa19dae 
3f1c0f3e 3fa457fb 3fc1cd59 3f9f5ff4 3fdb9efa 3fcec144 3feebe57 3fa1646f 
3f218b90 3fb5cec5 3fdacffc 3f8ea914 3fb4c396 3fa81120 3ffda590 3f79d29a 
3f33c5c5 3f9f52f9 3fd43db5 3fc6c20d 3feb682c 3f9409e4 3fa987d5 3f302e48 
3f0b28fd 3fd1c490 3ff858ea 3fe9722b 3fdd288c 3fab7376 3f91dcc3 3fb6f86c 
3f348959 3fb21cd4 3fcc49fc 3fbdd2cf 3fb2bceb 3fdadb27 3fa7f7ec 3fe4903f 
3ebca2c4 3f89fab6 3f8332e6 3f5e10bd 3f4c1c69 3f94ec34 3fb64628 3fc1b903 

3f087d73 3ed0af5b 3eef244c 3f319941 3f8217ed 3f668b3e 3f2981fa 3e91b990 
3f5be9e1 3f359533 3f39e246 3f685674 3fa7cdc2 3f97113a 3f6951b6 3f0be555 
3f337e7d 3f4d87a5 3f254bb0 3f2e186a 3f8e4ed6 3f973689 3f84ee40 3eb6fde8 
3f643987 3f4f02cf 3f4952ce 3f44f0ba 3f697c29 3f538b25 3f4799d2 3ee36aba 
3f147506 3f95a81a 3f879898 3f5e0670 3f3d0f66 3f69c4d0 3f2480a0 3efa2230 
3f54af64 3f6106ad 3f93aa2b 3f96f01e 3f217af5 3f5d60e4 3f6b7fd0 3f4080f6 
3f25ca71 3f6e868a 3f51818b 3f54e97a 3f37e1e0 3f4c20a3 3faa15ae 3f57ef20 
3f0202a8 3ed7712b 3ecd7716 3eebe833 3f20b42e 3f34e2ab 3f5b1a7d 3f142e04 

3f9fc93c 3fac3911 3fda3fc1 40041bb4 403e0f57 403d22d6 400a6692 3f862136 
3ffb67e1 402b87f5 40106322 401256ba 404b17af 40641c01 405eaa6f 400989c2 
3fdfad32 400360b7 4011548b 3fea8c67 4045cebc 403c0789 4032b763 3f942625 
3fe10b28 4030592e 403df3b8 4028d99d 40295613 4003a392 4024b6a3 3fba9ef9 
3feaa626 403eb9fc 4052978f 40361e24 402647a1 402cc4bb 401a63ca 3fe59f78 
3fcbab90 4022fe4a 40459778 4049f818 400faded 401c10d3 4029c539 401bee7e 
3fd49b67 401b6b61 400d8b0b 40042948 4010b44d 403bb747 4055e2cb 4029db16 
3f404dbe 3f808cc8 3f74b595 3f7650bb 3f8d82eb 3fb09a84 3fd264a3 3fb2b33e 

3fcebdea 3f9a5146 3f945379 40044176 40371fc4 401bca6d 3fc52efa 3f369d2a 
4021bbe5 4014770c 3fe8ca11 402713ea 40617e73 4071e6d2 40463312 3fb29be2 
401c838d 400452d4 3ff36085 4019928b 404aa4f8 404b174a 40059ae4 3f7b0a52 
400d4ae6 40399aaa 403085a7 400d313d 4017508e 402e77c6 40150efe 3fa98ea1 
402b576e 402e0843 40377978 403a3353 4020ca1b 400a8be9 4011612f 3fbc0e0c 
4004b2cf 403d10b5 405484f6 403b9da6 3ffad014 3fecfd8a 40545606 40060b67 
401e47d1 4015fdf7 400b9451 40143feb 4009bfc9 4041d47d 406a0658 3ffe0d30 
3f9bcbfe 3fa2a234 3f929206 3f92142d 3f8a5571 3fee7f67 401657d2 3f92687c 

3f52a820 3f73b6e0 3f9cdfac 3f4ed03c 3fcf35a3 40030538 3fcd897e 3f8294b0 
3f120d8a 3fe008e5 3f8d4740 3fb75469 40047d83 40066934 4007ec3e 3fa3cc92 
3f928836 3f85ed64 3fe87e0a 3f9d6e9b 3fbf457a 3fba5199 4003068c 3f956ee4 
3efd25f1 3febb9cc 3fc563ae 3fa6b686 3fd6f64f 3fc76a47 3fce866d 3f13eac3 
3f84f826 3fa7b0c9 4002f6ba 4001a4ad 3fe31f43 3fbe09a5 3f87f248 3f9e8cae 
3f2ee199 3fe6a91e 3fed26f6 3fe01903 3fd606ea 3faf0825 3fbef154 3fd34ee1 
3f4713fa 3fa8c097 3fba9a6a 3fad26fb 3fabedda 3fc431ef 3fd83666 3ffb858e 
3f0417fd 3f69e4ad 3f3309ec 3f071e6c 3efe47c5 3f85d673 3fb61372 3f866835 

401c053f 4047821b 400f0353 3ff44cd3 403c3ee2 405ab3b7 40566024 3fdbc219 
40525d7f 4081c79c 40369dd3 403c7b15 40667357 4091204a 40953c36 401cc450 
4055874a 406cd525 40697e6e 405fe0d5 407e9b36 40827262 4068180b 4008006c 
403f4e5b 406fd5ce 405f0f29 4061fd05 4068dc62 404a032c 408532a0 401826cc 
4020f493 406cdf86 407b6bdb 4066ebbb 4069bdab 40686702 406c9910 3ffca1fc 
40141ac4 4081ecb6 4063fa3b 405b85f8 4051e179 404ca1fa 40763921 4018987a 
4040ff9f 406b21d3 408a1056 405017b5 405a4647 40873241 4064e648 4034d05e 
3fc47223 401f3012 402bf273 40033aa0 40003728 402e77f5 401ef4c8 400a7524 

4022ad72 4020387c 400e4689 3fef8728 4018e3f8 403a8bf0 4033777c 3fc3430a 
408b73d0 4083877a 404e0d50 4037f27b 406e81e1 408b75c1 40889b7f 401b101c 
4081caa5 4071608c 401dc747 403446d8 406aa2b4 407302ab 40641a9d 3fdbb94d 
407eea85 406e8d6b 4034167f 4048ddf8 405f60ee 404c3099 403e5281 3fdaa4c5 
404c81bc 4084ef55 406ae0fe 40712d70 406ca6d3 405b2a57 404d4a59 400cd95a 
403782c7 4062c737 40524286 404a74d3 402b7f73 404441d2 407f08b8 4036d2f0 
4028d125 407d109f 405d288c 4019cbae 401daf9e 405688eb 4082e178 4017d726 
40280419 403c9bed 40398610 40234121 40137877 404c7ddf 404ab5e1 3fbf8159 

402cafae 4027b57c 4029cd26 40355507 4082ca1f 4084a0ee 405c8340 3ff49e9f 
4079edc4 40a6b646 40759015 406c3dea 40998a5e 40a26940 40b9088b 406f1e60 
40699edc 4090a488 40847f05 406760d2 40a0115f 40a2a40c 408f69ef 4011542a 
405c07b9 4096eabf 40912bf1 407f8144 408b8131 405b4f54 4086bc67 4040df8a 
404436a0 40a701e3 40ad030d 4090ac45 408b4652 409a49cb 4084eecb 4050445e 
40295f3a 40919198 4095451a 40924f5a 4055cced 408acd94 4090d15a 40733638 
404088ee 408c1fe5 408854f7 407bd63e 406885fd 4090aa32 40b5a543 4069c108 
3fc24881 3ff77438 401ed375 3fe8829f 4005c2cd 4011d5d6 40285574 40153e2d 

405b831f 40553ef0 403ab650 405baa76 408a2875 4082f204 406aeff6 401534ae 
40905317 40a26148 40607b64 40806bb6 40ad83e3 40b4e57b 40ace773 40447f1a 
4088f642 4093873a 40722da9 407d5cf7 409b62f0 40a54427 4070b6c1 400910b0 
407cd201 40a43fc6 409a29fd 408468a8 4092bd30 40951c51 40833be6 403462c0 
4079e581 409dafb5 409cc5fe 40937970 408bc616 408a8f05 40836d5e 405a1c69 
403ed4f8 409dd6c5 40a7bbe9 408fd3e1 40335edd 406bbe2a 40ae243d 405e950c 
40717f16 408c8ec6 408ab420 40868295 406d78b1 408f26a1 40c20ba2 404af8da 
4015544b 40293247 40461b21 4024423b 402901ef 4058ec18 4070059e 4016e377 

3ff2ce78 4022c380 401dd094 400f5999 401fadb5 405a8f32 404b7d2a 400436df 
402a7e56 4089aa91 405f3c35 404aa0e3 40631a7e 40866934 4093022f 4059281d 
403e1e80 4081f225 407ca0be 4045f2c8 4062d711 406ab4f8 4080ffef 402eca11 
4007fce1 4084f651 406677b2 40426808 4049e91d 40705aad 40664cdd 3ff2a8ab 
401f01cc 407a223a 4082753e 4080abf1 408b280f 405cab2d 4059c7dd 40256703 
40051965 405bc3f5 4085acce 403fa84b 40557df5 405f420a 4043bbd0 40734808 
3fd72831 4063272b 407e22cb 40597742 403007ae 405a6d2a 40770ff6 406887d7 
3f987672 4018d9c1 401aa8f4 3ff4249c 3fd9e245 400448f0 40414ede 40175566 

  8   8   8
0 0 0 0 0 0 0 0 0 0 
0 3e7efada 3f553419 3ed4c18f 3f23a3bf 3f39be4f 3f2b1447 3ee0a1a0 3e8a8221 0 
0 3e05c53e 3e93d3bf 3eeaac0e 3ebf06e0 3efc3891 3d97cf05 3f25e19d 3f3aff6b 0 
0 3d8617fb 3f1feae2 3eca4a33 3f71809f 3f4f7575 3f2f5244 3e21edc3 3f280e89 0 
0 3f63aa08 3ddc9042 3f1ee7ac 3f09b8b0 3f3d2c3f 3f131f72 3e32ebed 3d8f0ee7 0 
0 3f19a484 3de35942 3e6de053 3ec1186c 3f5a3cbc 3f40a766 3e99dc7c 3e07d45f 0 
0 3f43d94f 3e8ef338 3f7f7c57 3ebcd7be 3f0c93e4 3ecf0e2c 3f377ecc 3f1f93eb 0 
0 3dd59694 3e045759 3ed474dc 3f6cb55d 3d6b3e69 3dd05b9d 3ee5c3d5 3f6498db 0 
0 3d19086a 3f5269fe 3f316cf5 3f495a1e 3ea4286a 3e2a3696 3eb3b395 3f445bde 0 
0 0 0 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 0 0 0 
0 3eb6b626 3f7fffc1 3f5e9104 3ec9589f 3e7af07e 3f20cb76 3f2eef4e 3e278b71 0 
0 3f759b66 3f1cceba 3f1eb913 3f2dbdcb 3ebed837 3f253c74 3e9b0565 3ccb3f69 0 
0 3f00b14f 3c2831cb 3f1e92fd 3f13d8f0 3f4aa33a 3f0d51e7 3d90cb4b 3f6b7230 0 
0 3dab5eed 3eea9b42 3d9d23b1 3f78bde0 3f6a0b5d 3de4fe61 3f519719 3e94faa1 0 
